Episode Number,Main Topic,Topic 1 Relevance,Topic 2 Relevance,Topic 3 Relevance,Topic 4 Relevance,Topic 5 Relevance,Topic 6 Relevance
1,5,0.03334398567676544,0.03334398940205574,0.23174640536308289,0.0333385169506073,0.43632450699806213,0.231902614235878
2,6,0.002,0.002,0.27362868189811707,0.002,0.002,0.6912793517112732
3,6,0.08334345370531082,0.08334345370531082,0.08333665877580643,0.08333823829889297,0.08333823829889297,0.5832999348640442
4,6,0.02083755098283291,0.02083754912018776,0.26957768201828003,0.02083538845181465,0.02083538845181465,0.647076427936554
5,6,0.027780380100011826,0.027780380100011826,0.0279168002307415,0.027779048308730125,0.027779048308730125,0.860964298248291
6,6,0.02778272144496441,0.02778272144496441,0.027857793495059013,0.027780193835496902,0.19347183406352997,0.6953247785568237
7,1,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
8,3,0.027783937752246857,0.027783945202827454,0.6961575746536255,0.02778078243136406,0.02778078243136406,0.19271297752857208
9,6,0.018523601815104485,0.018523603677749634,0.23943637311458588,0.018520990386605263,0.24116747081279755,0.4638279676437378
10,6,0.023811737075448036,0.023811740800738335,0.023810261860489845,0.023810604587197304,0.023810604587197304,0.880945086479187
11,6,0.012822767719626427,0.012822767719626427,0.28486400842666626,0.012821616604924202,0.012821616604924202,0.6638472676277161
12,6,0.05556130409240723,0.05556130409240723,0.055557459592819214,0.055558353662490845,0.055558353662490845,0.7222031950950623
13,6,0.018521623685956,0.01852162927389145,0.4625658392906189,0.018520032986998558,0.018520032986998558,0.4633508622646332
14,6,0.027780380100011826,0.027780380100011826,0.027970127761363983,0.027779048308730125,0.027779048308730125,0.8609110713005066
15,3,0.03334376588463783,0.033343758434057236,0.4340958893299103,0.033338408917188644,0.23361457884311676,0.23226360976696014
16,6,0.08334345370531082,0.08334345370531082,0.08333665877580643,0.08333823829889297,0.08333823829889297,0.5832999348640442
17,6,0.05556546151638031,0.05556546524167061,0.3883427083492279,0.05556037649512291,0.05556037649512291,0.38940563797950745
18,6,0.016671085730195045,0.01667107455432415,0.41698452830314636,0.11550547927618027,0.016668815165758133,0.41749903559684753
19,6,0.04166996479034424,0.04166996479034424,0.04166776314377785,0.04166827350854874,0.04166827350854874,0.7916557788848877
20,6,0.0555693581700325,0.0555693581700325,0.3887423872947693,0.05556226521730423,0.05556226521730423,0.38899436593055725
21,3,0.05556153133511543,0.05556153133511543,0.7222023010253906,0.0555584616959095,0.0555584616959095,0.05555766448378563
22,6,0.018524156883358955,0.01852414943277836,0.1272909939289093,0.12869708240032196,0.01852126233279705,0.6884424090385437
23,6,0.011908004991710186,0.011908004991710186,0.36911869049072266,0.011906350031495094,0.0818469449877739,0.5133119821548462
24,1,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
25,6,0.027786383405327797,0.02778634801506996,0.1926496922969818,0.027781950309872627,0.19425079226493835,0.5297448635101318
26,6,0.02381681278347969,0.023816809058189392,0.16470329463481903,0.1661527305841446,0.023813076317310333,0.5976972579956055
27,6,0.04167629033327103,0.04167629033327103,0.2904774248600006,0.04167134687304497,0.04167134687304497,0.5428272485733032
28,6,0.05556934326887131,0.055569346994161606,0.38880476355552673,0.05556225776672363,0.05556225776672363,0.3889320492744446
29,6,0.08334343880414963,0.08334343880414963,0.08468315005302429,0.08333823084831238,0.08333823084831238,0.5819535255432129
30,6,0.020835258066654205,0.020835258066654205,0.020833976566791534,0.020834272727370262,0.020834272727370262,0.8958269953727722
31,6,0.016670355573296547,0.016670364886522293,0.11405093967914581,0.01666845567524433,0.01666845567524433,0.819271445274353
32,6,0.055569346994161606,0.055569346994161606,0.3888043463230133,0.055562254041433334,0.055562254041433334,0.388932466506958
33,3,0.033339645713567734,0.033339645713567734,0.5724014639854431,0.03333641216158867,0.03333641216158867,0.2942464351654053
34,6,0.041676271706819534,0.041676271706819534,0.29063206911087036,0.04167134314775467,0.04167134314775467,0.5426726937294006
35,6,0.05556130409240723,0.05556130409240723,0.055557459592819214,0.055558353662490845,0.055558353662490845,0.7222031950950623
36,3,0.01852518506348133,0.01852518506348133,0.3522505760192871,0.12877768278121948,0.2418377697467804,0.24008356034755707
37,1,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
38,6,0.010418561287224293,0.010418561287224293,0.343258798122406,0.010417594574391842,0.010417594574391842,0.6150688529014587
39,6,0.0277835875749588,0.027783585712313652,0.19248047471046448,0.02778061293065548,0.02778061293065548,0.6963911652565002
40,6,0.05556934326887131,0.05556934326887131,0.38880494236946106,0.055562254041433334,0.055562254041433334,0.38893187046051025
41,3,0.012825063429772854,0.012825063429772854,0.39812442660331726,0.3228955566883087,0.16659070551395416,0.08673922717571259
42,6,0.020838622003793716,0.020838622003793716,0.3311742842197418,0.27139538526535034,0.020835917443037033,0.33491718769073486
43,3,0.02381640300154686,0.023816414177417755,0.4531932473182678,0.023812871426343918,0.16611070930957794,0.3092503547668457
44,1,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
45,6,0.04167074337601662,0.04167074337601662,0.04201752319931984,0.04166865721344948,0.04166865721344948,0.7913036942481995
46,6,0.011113137938082218,0.011113147251307964,0.410569429397583,0.011112099513411522,0.011112098582088947,0.5449800491333008
47,3,0.027783948928117752,0.02778395265340805,0.6961563229560852,0.02778078056871891,0.02778078243136406,0.19271424412727356
48,6,0.01667000725865364,0.01667001098394394,0.2150411605834961,0.016668297350406647,0.016668299213051796,0.7182822227478027
49,3,0.011114053428173065,0.01111404225230217,0.4784720242023468,0.011112525127828121,0.1438625156879425,0.34432488679885864
50,6,0.018519969657063484,0.018519969657063484,0.018595349043607712,0.01851922832429409,0.01851922832429409,0.9073262810707092
51,6,0.02381640113890171,0.02381639927625656,0.3090745210647583,0.16609904170036316,0.023812873288989067,0.4533807635307312
52,6,0.0333402156829834,0.0333402119576931,0.2316908985376358,0.03333668410778046,0.03333668410778046,0.6349552869796753
53,6,0.033340852707624435,0.03334084525704384,0.23176445066928864,0.03333699703216553,0.03333699703216553,0.6348798871040344
54,6,0.04167627543210983,0.041676271706819534,0.2906317412853241,0.04167134314775467,0.04167134314775467,0.5426730513572693
55,3,0.011114023625850677,0.011114056222140789,0.47846323251724243,0.011112526059150696,0.14386233687400818,0.34433382749557495
56,3,0.013891669921576977,0.01389166060835123,0.7655602097511292,0.013890239410102367,0.013890238478779793,0.17887595295906067
57,6,0.041676267981529236,0.041676267981529236,0.29063233733177185,0.04167133942246437,0.04167133942246437,0.5426723957061768
58,3,0.041676245629787445,0.041676245629787445,0.5424924492835999,0.041671331971883774,0.041671331971883774,0.2908124327659607
59,6,0.023812483996152878,0.023812483996152878,0.02387760765850544,0.023810971528291702,0.3090182840824127,0.5956681370735168
60,6,0.08334345370531082,0.08334345370531082,0.08333665877580643,0.08333823829889297,0.08333823829889297,0.5832999348640442
61,3,0.0333394855260849,0.0333394855260849,0.6339254975318909,0.0333363302052021,0.23272372782230377,0.03333544731140137
62,6,0.04167626425623894,0.04167626425623894,0.2906320095062256,0.04167133942246437,0.04167133942246437,0.5426727533340454
